Date;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2019-09-23T03:00:00.0/2019-09-23T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-23T04:00:00.0/2019-09-23T05:00:00.0;21.8694;6.1237;0.6728;5.4509;11.7965;0.8182;0.0000;0.8182;0.0000;0.7917
2019-09-23T05:00:00.0/2019-09-23T06:00:00.0;220.2275;101.8828;42.7787;59.1041;235.5252;10.7957;0.0000;10.7957;0.0000;0.9667
2019-09-23T06:00:00.0/2019-09-23T07:00:00.0;443.0965;264.5972;160.6527;103.9445;483.2099;22.3956;0.0000;22.3956;0.0000;1.0000
2019-09-23T07:00:00.0/2019-09-23T08:00:00.0;635.7904;423.2831;294.9474;128.3358;625.3030;50.0841;0.0003;50.0838;0.0007;1.0000
2019-09-23T08:00:00.0/2019-09-23T09:00:00.0;785.1475;551.3483;410.7756;140.5727;707.1201;51.3973;0.0001;51.3972;0.0002;1.0000
2019-09-23T09:00:00.0/2019-09-23T10:00:00.0;880.9604;634.5532;486.7906;147.7626;747.5723;149.3607;0.1211;149.2396;0.1864;1.0000
2019-09-23T10:00:00.0/2019-09-23T11:00:00.0;916.6725;665.5666;513.2906;152.2760;757.7144;131.1677;0.0171;131.1505;0.0254;1.0000
2019-09-23T11:00:00.0/2019-09-23T12:00:00.0;889.8262;642.3975;490.6017;151.7957;745.9625;147.0903;0.0712;147.0191;0.1099;1.0000
2019-09-23T12:00:00.0/2019-09-23T13:00:00.0;802.2304;566.4846;420.4064;146.0782;708.5189;248.2798;23.0986;225.1813;41.0405;1.0000
2019-09-23T13:00:00.0/2019-09-23T14:00:00.0;659.8377;444.4623;311.1663;133.2961;636.1831;210.1687;13.9585;196.2101;26.4975;1.0000
2019-09-23T14:00:00.0/2019-09-23T15:00:00.0;472.3377;289.1046;179.8671;109.2375;509.3168;162.8880;16.3073;146.5807;52.3093;1.0000
2019-09-23T15:00:00.0/2019-09-23T16:00:00.0;252.4963;123.7579;56.8620;66.8960;282.3312;113.2025;39.1834;74.0191;210.5205;1.0000
2019-09-23T16:00:00.0/2019-09-23T17:00:00.0;38.2199;11.8812;2.0173;9.8639;27.3800;11.8812;2.0173;9.8639;27.3800;0.7500
2019-09-23T17:00:00.0/2019-09-23T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-23T18:00:00.0/2019-09-23T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-23T19:00:00.0/2019-09-23T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-23T20:00:00.0/2019-09-23T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-23T21:00:00.0/2019-09-23T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-23T22:00:00.0/2019-09-23T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-23T23:00:00.0/2019-09-24T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-24T00:00:00.0/2019-09-24T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-24T01:00:00.0/2019-09-24T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-24T02:00:00.0/2019-09-24T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-24T03:00:00.0/2019-09-24T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-24T04:00:00.0/2019-09-24T05:00:00.0;19.6721;5.4605;0.6122;4.8483;11.4093;0.7783;0.0000;0.7783;0.0000;0.8000
2019-09-24T05:00:00.0/2019-09-24T06:00:00.0;214.9651;98.5788;40.4826;58.0962;228.0734;27.5672;0.6247;26.9426;2.7451;0.9667
2019-09-24T06:00:00.0/2019-09-24T07:00:00.0;437.8198;260.0546;153.8976;106.1570;468.5414;125.8332;7.4391;118.3941;25.1827;1.0000
2019-09-24T07:00:00.0/2019-09-24T08:00:00.0;630.3987;418.6882;284.7975;133.8907;609.2244;74.0602;0.0908;73.9695;0.1756;1.0000
2019-09-24T08:00:00.0/2019-09-24T09:00:00.0;779.5481;546.7382;398.0332;148.7050;690.4792;244.3387;9.9627;234.3761;16.7895;1.0000
2019-09-24T09:00:00.0/2019-09-24T10:00:00.0;875.0748;629.3698;472.2418;157.1281;730.5154;396.0554;92.0017;304.0537;141.3320;1.0000
2019-09-24T10:00:00.0/2019-09-24T11:00:00.0;910.4422;659.0981;497.4710;161.6271;739.8024;334.1604;36.2787;297.8817;54.0172;1.0000
2019-09-24T11:00:00.0/2019-09-24T12:00:00.0;883.2161;634.4112;473.8911;160.5201;726.3373;203.0579;1.2155;201.8424;1.8365;1.0000
2019-09-24T12:00:00.0/2019-09-24T13:00:00.0;795.2318;557.2877;403.5102;153.7775;686.3489;176.9979;1.0739;175.9240;1.8532;1.0000
2019-09-24T13:00:00.0/2019-09-24T14:00:00.0;652.4684;434.5841;295.3574;139.2267;610.8497;232.9985;69.6363;163.3622;156.6811;1.0000
2019-09-24T14:00:00.0/2019-09-24T15:00:00.0;464.6409;279.3140;167.1944;112.1195;481.0147;245.1531;122.1456;123.0074;353.7502;1.0000
2019-09-24T15:00:00.0/2019-09-24T16:00:00.0;244.5376;116.9894;51.4366;65.5529;263.2931;116.3554;50.9460;65.4095;261.3691;1.0000
2019-09-24T16:00:00.0/2019-09-24T17:00:00.0;33.7891;10.2993;1.6934;8.6059;24.5246;10.2993;1.6934;8.6059;24.5246;0.7667
2019-09-24T17:00:00.0/2019-09-24T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-24T18:00:00.0/2019-09-24T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-24T19:00:00.0/2019-09-24T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-24T20:00:00.0/2019-09-24T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-24T21:00:00.0/2019-09-24T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-24T22:00:00.0/2019-09-24T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-24T23:00:00.0/2019-09-25T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-25T00:00:00.0/2019-09-25T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-25T01:00:00.0/2019-09-25T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-25T02:00:00.0/2019-09-25T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-25T03:00:00.0/2019-09-25T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-25T04:00:00.0/2019-09-25T05:00:00.0;17.5482;4.3645;0.2337;4.1308;4.5586;4.3645;0.2337;4.1308;4.5586;0.8167
2019-09-25T05:00:00.0/2019-09-25T06:00:00.0;209.6738;82.5430;20.4642;62.0788;115.7849;72.2172;13.2794;58.9378;73.8950;0.9667
